date,headlines_count,sentiment_mean,sentiment_median,sentiment_min,sentiment_max
2025-09-05,250,-0.0069324,0.0,-0.886,0.9698
2025-09-06,250,-0.031804000000000006,0.0,-0.8176,0.804
2025-09-07,250,-0.0354948,0.0,-0.8271,0.6369
2025-09-08,250,-0.032993999999999996,0.0,-0.8934,0.9118
2025-09-09,250,0.0301036,0.0,-0.7906,0.9124
2025-09-10,250,0.040116,0.0,-0.8271,0.873
2025-09-11,250,-0.0665544,0.0,-0.6597,0.8225
2025-09-12,250,0.1410712,0.0,-0.802,0.8885
2025-09-13,250,-0.0219576,0.0,-0.802,0.8807
2025-09-15,250,-0.07526680000000001,0.0,-0.8834,0.7269
2025-09-16,250,0.0646748,0.0,-0.8555,0.8689
2025-09-17,250,-0.03925999999999999,0.0,-0.7096,0.9291
2025-09-18,250,-0.022062799999999997,0.0,-0.6486,0.872
2025-09-19,250,0.0191068,0.0,-0.765,0.9022
2025-09-21,250,0.0324,0.0,-0.784,0.8442
2025-09-22,250,0.041919200000000004,0.0,-0.8555,0.8658
2025-09-23,250,0.0818336,0.0516,-0.7351,0.7196
2025-09-24,250,0.0139376,0.0,-0.8271,0.7906
2025-09-25,250,-0.08853520000000001,0.0,-0.802,0.8415
2025-09-26,250,-0.0371712,0.0,-0.8842,0.6808
2025-09-27,250,0.023152800000000005,0.0,-0.8825,0.8225
2025-09-28,250,0.07183120000000001,0.0,-0.7579,0.7906
2025-09-29,250,-0.0037632000000000013,0.0,-0.8151,0.9231
2025-09-30,250,0.1155412,0.0,-0.6705,0.891
2025-10-02,250,0.020298799999999995,0.0,-0.7579,0.7717
2025-10-03,250,0.05029839999999999,0.0,-0.8847,0.8415
2025-10-04,250,0.019915600000000002,0.0,-0.8505,0.765
2025-10-05,250,0.040986800000000004,0.0,-0.765,0.8126
2025-10-06,250,0.0409788,0.0,-0.8881,0.872
2025-10-07,250,0.057829200000000004,0.0,-0.8016,0.872
2025-10-08,250,0.0399692,0.0,-0.8316,0.8415
2025-10-09,250,0.0812164,0.0,-0.6597,0.9246
2025-10-10,250,-0.18928319999999998,0.0,-0.8934,0.765
2025-10-11,250,-0.16314159999999997,0.0,-0.91,0.8374
2025-10-13,250,-0.1149064,-0.0772,-0.8271,0.802
2025-10-14,250,-0.044309600000000005,0.0,-0.743,0.8402
2025-10-15,250,-0.041543199999999995,0.0,-0.8481,0.8271
2025-10-16,250,0.012381999999999999,0.0,-0.8176,0.8625
2025-10-17,250,-0.060947600000000005,0.0,-0.9117,0.8481
2025-10-18,250,0.003117200000000002,0.0,-0.8316,0.765
2025-10-19,250,-0.013462799999999999,0.0,-0.7906,0.7425
2025-10-21,250,0.10760560000000001,0.0,-0.7906,0.8689
2025-10-22,250,0.069034,0.0,-0.872,0.8176
2025-10-23,250,0.10897119999999999,0.0,-0.8176,0.9106
2025-10-24,250,-0.027574800000000003,0.0,-0.6872,0.7906
2025-10-25,250,0.002633599999999995,0.0,-0.7717,0.8519
2025-10-26,250,0.0016920000000000014,0.0,-0.7717,0.743
2025-10-27,250,0.10808240000000001,0.0,-0.8658,0.873
2025-10-28,250,0.095124,0.0,-0.765,0.765
2025-10-29,250,-0.043023200000000004,0.0,-0.7783,0.9451
2025-10-30,250,-0.0335176,0.0,-0.8173,0.875
2025-10-31,250,0.1333968,0.0,-0.765,0.9552
2025-11-01,250,0.0746056,0.0,-0.7269,0.8519
2025-11-02,250,0.09278919999999999,0.0,-0.8932,0.9217
2025-11-03,250,0.1158804,0.0,-0.5994,0.8807
2025-11-04,250,-0.098554,0.0,-0.9117,0.8415
2025-11-05,250,-0.003719599999999998,0.0,-0.8553,0.8316
2025-11-06,250,0.045922,0.0,-0.7506,0.8271
2025-11-07,250,-0.1193048,0.0,-0.8834,0.7964
2025-11-08,250,-0.015328000000000001,0.0,-0.743,0.8579
2025-11-09,250,0.10050959999999999,0.0,-0.8313,0.8402
2025-11-10,250,0.0850624,0.0,-0.9168,0.8442
2025-11-11,250,-0.0379712,0.0,-0.7096,0.8415
2025-11-12,250,0.1165288,0.0,-0.7003,0.8415
2025-11-13,250,0.004171599999999999,0.0,-0.8225,0.8225
2025-11-14,250,-0.0569416,0.0,-0.7906,0.9201
2025-11-15,250,-0.0790468,0.0,-0.9153,0.6369
2025-11-16,250,0.0485512,0.0,-0.8442,0.7906
2025-11-17,250,-0.0107396,0.0,-0.743,0.8415
2025-11-18,250,-0.089202,0.0,-0.7845,0.8415
2025-11-19,250,-0.0313016,0.0,-0.871,0.873
2025-11-20,250,0.1013128,0.0,-0.8442,0.875
2025-11-21,250,-0.0501992,0.0,-0.8481,0.8415
2025-11-22,250,0.028619200000000004,0.0,-0.8705,0.8126
2025-11-23,250,0.0402752,0.0,-0.7717,0.7783
2025-11-24,250,0.18625,0.0,-0.8825,0.9236
2025-11-25,250,0.11216,0.0,-0.8591,0.8658
2025-11-26,250,0.1914108,0.1779,-0.7783,0.875
2025-11-27,250,0.1597032,0.0,-0.7783,0.9426
2025-11-28,250,0.097708,0.0,-0.7717,0.8807
2025-11-29,250,0.0772496,0.0,-0.7351,0.9118
2025-12-01,250,0.0214772,0.0,-0.7644,0.7964
2025-12-02,250,0.055552,0.0,-0.8553,0.8658
2025-12-03,250,0.0282696,0.0,-0.8316,0.913
2025-12-04,250,0.0388132,0.0,-0.7096,0.7351
2025-12-05,250,0.060367599999999993,0.0,-0.765,0.8415
2025-12-06,19,0.06780526315789474,0.0,-0.7906,0.743
2025-12-07,250,0.0798956,0.0,-0.7579,0.8442
2025-12-08,250,-0.017869599999999996,0.0,-0.7964,0.8176
2025-12-09,250,-0.010478399999999999,0.0,-0.8074,0.8415
2025-12-10,250,0.0181468,0.0,-0.7783,0.7783
2025-12-11,250,-0.021193999999999998,0.0,-0.6597,0.7717
2025-12-12,250,-0.0474812,0.0,-0.7927,0.873
2025-12-13,249,-0.007639357429718876,0.0,-0.7184,0.9042
2025-12-14,250,0.0014916000000000018,0.0,-0.7184,0.8047
2025-12-15,250,-0.004784399999999999,0.0,-0.8402,0.875
2025-12-16,250,-0.065012,0.0,-0.802,0.8689
2025-12-17,250,-0.0451756,0.0,-0.765,0.8415
2025-12-18,250,-0.03969840000000001,0.0,-0.7635,0.8074
2025-12-19,250,0.1058936,0.0,-0.8579,0.875
2025-12-20,250,0.0501172,0.0,-0.765,0.7603
2025-12-21,250,0.0711048,0.0,-0.8313,0.9015
2025-12-22,250,0.151262,0.0,-0.7717,0.9091
2025-12-23,250,0.2128084,0.1779,-0.8516,0.8481
2025-12-24,250,0.1056084,0.0,-0.6249,0.8271
2025-12-25,250,0.14300960000000001,0.0,-0.836,0.8519
2025-12-26,250,0.18913239999999998,0.0,-0.8074,0.875
2025-12-27,250,0.0285188,0.0,-0.8658,0.7964
2025-12-28,250,0.0584208,0.0,-0.7351,0.9325
2025-12-29,250,0.0383104,0.0,-0.7876,0.8625
2025-12-30,250,-0.031738,0.0,-0.9117,0.836
2025-12-31,250,0.06859,0.0,-0.7579,0.866
2026-01-01,250,0.07087399999999999,0.0,-0.7351,0.8442
2026-01-02,250,0.0556656,0.0,-0.8399,0.836
2026-01-03,250,0.0727884,0.0,-0.8689,0.9062
2026-01-04,250,0.073958,0.0,-0.6486,0.8555
2026-01-05,250,-0.004329599999999998,0.0,-0.7293,0.875
2026-01-06,250,0.0849336,0.0,-0.5719,0.7783
2026-01-07,250,0.1371384,0.07715,-0.7096,0.875
2026-01-08,250,0.094116,0.0,-0.7003,0.8415
2026-01-09,250,0.0205572,0.0,-0.8176,0.9081
2026-01-10,250,0.011596000000000002,0.0,-0.8176,0.8561
2026-01-11,250,0.22965799999999997,0.0,-0.8439,0.8225
2026-01-12,250,-0.0728288,0.0,-0.8689,0.8176
2026-01-13,250,-0.0277184,0.0,-0.8316,0.8415
2026-01-14,250,-0.0023036000000000007,0.0,-0.7506,0.8415
2026-01-16,250,0.0517844,0.0,-0.8519,0.8415
2026-01-17,250,0.050367199999999994,0.0,-0.8658,0.8188
2026-01-18,250,0.0179168,0.0,-0.8934,0.8126
2026-01-19,250,0.0030964000000000026,0.0,-0.8074,0.8126
2026-01-20,250,-0.030466799999999995,0.0,-0.9022,0.7506
2026-01-21,250,0.059604800000000006,0.0,-0.875,0.7717
2026-01-22,250,0.07158679999999999,0.0,-0.8402,0.8625
2026-01-23,250,0.1029704,0.0,-0.743,0.8934
2026-01-24,250,0.0546856,0.0,-0.6124,0.8968
2026-01-25,250,0.059996,0.0,-0.7906,0.8625
2026-01-26,250,0.0670564,0.0,-0.7184,0.802
2026-01-27,250,0.0782064,0.0,-0.7906,0.873
2026-01-28,250,0.176154,0.07715,-0.7506,0.8442
2026-01-29,250,0.0860428,0.0,-0.9081,0.8442
2026-01-30,250,0.0363844,0.0,-0.7269,0.8225
2026-01-31,250,0.0717616,0.0,-0.8608,0.7845
2026-02-01,250,0.0481004,0.0,-0.7964,0.8591
2026-02-02,250,0.011886399999999998,0.0,-0.8074,0.89
2026-02-03,250,0.09408240000000001,0.0,-0.6908,0.9106
2026-02-04,250,0.0005528000000000011,0.0,-0.7269,0.891
2026-02-05,250,-0.0316716,0.0,-0.8393,0.8481
2026-02-06,250,0.1100724,0.0,-0.8591,0.8442
2026-02-07,250,0.0896232,0.0,-0.8126,0.8176
2026-02-08,250,0.029396799999999997,0.0,-0.765,0.7964
2026-02-09,250,0.09860680000000001,0.0,-0.7506,0.9274
2026-02-10,250,0.0430836,0.0,-0.8074,0.875
2026-02-11,250,0.006542799999999996,0.0,-0.9001,0.8415
2026-02-12,250,0.07019,0.0,-0.8225,0.875
2026-02-13,250,-0.0291452,0.0,-0.8689,0.873
2026-02-14,250,0.0020091999999999987,0.0,-0.9042,0.8442
2026-02-15,250,-0.0177788,0.0,-0.8612,0.8402
2026-02-16,250,0.1414736,0.0,-0.8074,0.8415
2026-02-17,250,0.030014,0.0,-0.9001,0.8415
2026-02-18,250,0.005472799999999999,0.0,-0.9001,0.7269
2026-02-19,250,0.0334192,0.0,-0.7351,0.875
2026-02-20,250,0.026393200000000002,0.0,-0.9187,0.8481
2026-02-21,250,0.1218972,0.0,-0.8271,0.8654
2026-02-23,250,0.0158328,0.0,-0.8316,0.8689
2026-02-24,250,-0.0554512,0.0,-0.8074,0.7506
2026-02-25,250,0.1083864,0.0,-0.8555,0.8834
2026-02-26,250,0.0868408,0.0,-0.836,0.875
2026-02-27,250,-0.0388524,0.0,-0.8481,0.875
2026-02-28,178,-0.009788202247191012,0.0,-0.8625,0.802
2026-03-01,250,-0.0885548,0.0,-0.9287,0.8555
2026-03-02,250,-0.26675960000000004,-0.3506,-0.8765,0.7906
2026-03-03,250,-0.294834,-0.3612,-0.9274,0.8442
2026-03-04,250,-0.16578,-0.1027,-0.9493,0.8555
